area,bbox,com,perimeter,centroid,cm_11,cm_20,cm_02,orientation,class
257,"[[83, 446], [98, 476]]","[0.1602112676056338, 0.6041666666666666]",147.0,"[0.4233786610878661, 0.37090025644486435]",15885.727442781686,16794.37048390698,46050.73914930559,-0.4132934894313928,super
282,"[[84, 600], [132, 639]]","[0.18838028169014084, 0.8033854166666666]",169.0,"[0.4750963322391894, 0.4316433566433567]",72960.12186858131,194825.67748834545,113484.35806952555,0.5311306930368337,super
860,"[[97, 0], [131, 49]]","[0.20422535211267606, 0.036458333333333336]",209.0,"[0.5257995735607676, 0.5509299655568313]",435375.11572036357,334570.27132513426,785316.6681586398,-0.5465631623433422,super
991,"[[107, 539], [147, 571]]","[0.22183098591549297, 0.7213541666666666]",113.0,"[0.4672540670916296, 0.44595297067547324]",246872.48658487387,462062.8435702253,256189.21033393155,0.5878761543747175,super
1743,"[[66, 360], [138, 463]]","[0.18838028169014084, 0.5286458333333334]",1096.0,"[0.477676957377576, 0.5111627284006317]",10109589.94076438,9225336.790319437,20109825.550021693,-0.5384804302324537,super
3935,"[[234, 50], [356, 130]]","[0.5123239436619719, 0.11588541666666667]",527.0,"[0.46739637899794123, 0.4785707370242323]",9518443.961421195,15213182.161999596,7335664.68289009,0.5892239528575824,super
903,"[[306, 717], [341, 761]]","[0.5721830985915493, 0.96484375]",123.0,"[0.5251630367909438, 0.5361880152577827]",407242.9789076254,372861.0166106681,566486.5926361084,-0.6687006703606525,super
72753,"[[136, 207], [451, 547]]","[0.551056338028169, 0.4986979166666667]",1356.0,"[0.5568977017164768, 0.5175972494746287]",2268686836.637671,2651738672.4063716,2778232359.2090855,-0.7714626864895016,super
294,"[[0, 93], [13, 134]]","[0.007042253521126761, 0.1484375]",96.0,"[0.26117589893100096, 0.5018626498218335]",23676.096170774646,6309.873735369966,157877.74353027344,-0.15140406392829023,para
538,"[[0, 141], [22, 177]]","[0.017605633802816902, 0.20963541666666666]",91.0,"[0.4250848553418458, 0.5469707625841455]",118457.6131987236,69852.95548998228,255670.6226569286,-0.45284446382628507,para
268,"[[0, 241], [7, 289]]","[0.0035211267605633804, 0.34765625]",106.0,"[0.2989738805970149, 0.5335820895522388]",17655.80787852112,2390.489238246383,224289.33709716797,-0.07890530424780762,para
277,"[[4, 331], [23, 349]]","[0.02464788732394366, 0.4427083333333333]",55.0,"[0.49927797833935017, 0.480714421432643]",24523.132170627934,33709.81616990673,27030.185248480877,0.7177193396651248,para
908,"[[33, 559], [66, 597]]","[0.08626760563380281, 0.7513020833333334]",107.0,"[0.47975511790619335, 0.46944538574494526]",275797.20240060164,300370.33841251716,357617.23331027484,-0.7336910817793324,para
994,"[[115, 124], [154, 169]]","[0.23943661971830985, 0.18880208333333334]",162.0,"[0.5228370221327967, 0.45422535211267606]",463832.25803257036,510982.1690140844,561505.9714118098,-0.7581933201823641,para
1018,"[[117, 175], [151, 214]]","[0.23591549295774647, 0.25390625]",114.0,"[0.4728038170081392, 0.505943025540275]",347383.3429522452,351032.19314123923,501063.67568969727,-0.6790584852331953,para
1179,"[[136, 229], [164, 308]]","[0.2658450704225352, 0.33984375]",187.0,"[0.5175338539381709, 0.3939991518235793]",628179.6480179904,311568.0671338746,1639811.6202850342,-0.37879641755431687,para
1950,"[[156, 316], [198, 409]]","[0.31161971830985913, 0.4713541666666667]",251.0,"[0.49947525342874177, 0.4888161483906165]",1941129.5117279193,1024040.4675101667,5366886.574096659,-0.36472943560346616,para
736,"[[163, 418], [191, 453]]","[0.31161971830985913, 0.5677083333333334]",97.0,"[0.48650674662668664, 0.5061518719806763]",182270.98973004692,176727.75233088687,281975.13454861176,-0.6448640294079767,para
856,"[[171, 265], [207, 304]]","[0.3380281690140845, 0.3671875]",153.0,"[0.5586006567314978, 0.41758177570093463]",323334.8384683098,441157.020432455,327677.31787109375,0.6985408998235766,para
1382,"[[193, 559], [227, 616]]","[0.3714788732394366, 0.7643229166666666]",147.0,"[0.506636344841844, 0.4830954638455013]",612822.1172012546,506245.78870139713,1324928.59731377,-0.49094901738608243,para
1648,"[[196, 14], [227, 104]]","[0.3732394366197183, 0.0703125]",217.0,"[0.5056128640776699, 0.4351928411394431]",1007946.9647887326,495435.46637571935,3536929.2568359375,-0.29265951912942156,para
905,"[[221, 106], [253, 143]]","[0.4154929577464789, 0.16276041666666666]",108.0,"[0.458965344048217, 0.5011340505961035]",265649.638690214,260698.91018647148,396121.9482710089,-0.6606101701704243,para
1000,"[[238, 158], [266, 207]]","[0.44366197183098594, 0.23958333333333334]",126.0,"[0.4994137931034483, 0.51624]",377121.6057805163,248562.72326919282,788829.150173613,-0.47460628107389286,para
1118,"[[261, 259], [288, 327]]","[0.4823943661971831, 0.3828125]",152.0,"[0.4757858420649118, 0.5115890176557517]",567286.1542143486,233744.6000545534,1676903.4471435547,-0.3331263524520002,para
582,"[[270, 0], [314, 24]]","[0.5193661971830986, 0.013020833333333334]",127.0,"[0.5499045437189767, 0.41044673539518906]",153087.75485071895,378507.165461962,87384.57784016912,0.4052972605065649,para
20537,"[[210, 355], [340, 621]]","[0.4841549295774648, 0.6380208333333334]",970.0,"[0.48259021065004976, 0.5184617810362475]",192294722.49855536,102701955.5519347,517325592.9685128,-0.3739180665918975,para
959,"[[327, 654], [351, 706]]","[0.596830985915493, 0.88671875]",119.0,"[0.47582898852971844, 0.5014264072245067]",303741.0011484923,158356.30695484494,801262.2049407959,-0.3785377070233597,para
3216,"[[356, 344], [403, 475]]","[0.6672535211267606, 0.5364583333333334]",336.0,"[0.4855734349087894, 0.5187391640283432]",5205526.306704811,1994644.206506637,18737324.472656313,-0.27815721892948575,para
1299,"[[364, 38], [414, 88]]","[0.670774647887324, 0.08463541666666667]",180.0,"[0.3362616794215762, 0.5196304849884527]",620982.9054774607,559789.7766161227,1114021.1564992298,-0.5755312491985649,para
889,"[[398, 596], [418, 668]]","[0.7200704225352113, 0.81640625]",183.0,"[0.5015801596229043, 0.4233169483951493]",273655.0136512436,104889.46888328173,1062453.9105377197,-0.25962436194092975,para
805,"[[403, 696], [428, 761]]","[0.727112676056338, 0.94921875]",181.0,"[0.3722408026755853, 0.5036514210427254]",210375.43075346597,90992.7280208542,1067828.029006958,-0.2033563826333188,para
367,"[[526, 743], [561, 761]]","[0.9595070422535211, 0.98046875]",159.0,"[0.5234635180139268, 0.5300444571920263]",56019.001464843706,159079.97852298638,42547.17906188965,0.38286795446450084,para
892,"[[0, 90], [30, 128]]","[0.02640845070422535, 0.13932291666666666]",120.0,"[0.4957688413134674, 0.44161779924111766]",259434.59104496767,270185.5551849826,344523.4785630965,-0.7142477862526283,cyl
622,"[[0, 132], [29, 190]]","[0.02112676056338028, 0.21354166666666666]",207.0,"[0.3865487674169346, 0.5507657093029593]",292975.51599178405,126430.50297560025,789442.1548936637,-0.36188829065878797,cyl
912,"[[0, 341], [25, 385]]","[0.01936619718309859, 0.4713541666666667]",118.0,"[0.42780026990553305, 0.46435185185185185]",197034.8467576291,150293.44063677822,511714.4306640599,-0.41429326049822923,cyl
594,"[[0, 424], [19, 468]]","[0.01232394366197183, 0.5846354166666666]",106.0,"[0.36893939393939396, 0.5581369248035914]",114173.96183153611,47637.05852633416,423749.6767883291,-0.2728215379804466,cyl
785,"[[43, 141], [65, 185]]","[0.09330985915492958, 0.21484375]",111.0,"[0.42193298255330935, 0.5266808209483369]",189380.02730936397,97453.1657688208,546450.8979644775,-0.35037400044326333,cyl
790,"[[66, 502], [92, 543]]","[0.13732394366197184, 0.6809895833333334]",107.0,"[0.45836849507735583, 0.4989752863170585]",222175.30741087144,155578.6653193809,413233.4328986269,-0.5226640218660594,cyl
425,"[[145, 1], [174, 21]]","[0.27992957746478875, 0.01171875]",91.0,"[0.4545098039215686, 0.35921568627450984]",41831.02979891065,100587.91943872758,34472.917739868164,0.4510105267377016,cyl
901,"[[147, 48], [183, 86]]","[0.29225352112676056, 0.08854166666666667]",143.0,"[0.5030146683864775, 0.5011810239335212]",315203.6828601822,368990.35772911995,415213.4489203544,-0.7488023643792148,cyl
3905,"[[172, 146], [246, 236]]","[0.36971830985915494, 0.25]",307.0,"[0.5051609048228767, 0.5065188332793966]",5936873.610035214,6636011.872359139,10234065.0625,-0.6382828874677393,cyl
19695,"[[192, 284], [310, 544]]","[0.4471830985915493, 0.5390625]",1078.0,"[0.5190892038322699, 0.4986327177797921]",170958293.38669148,91140434.50515188,411057187.46136475,-0.4093133371161676,cyl
1095,"[[280, 688], [317, 731]]","[0.522887323943662, 0.921875]",131.0,"[0.46172031712675515, 0.4634136281141725]",338265.4732064265,403742.24627430004,546273.4760742188,-0.6815766909241711,cyl
633,"[[301, 731], [326, 761]]","[0.551056338028169, 0.9739583333333334]",93.0,"[0.44841414509660954, 0.5410487693013301]",118130.3572018046,104350.62718520623,201802.42928059914,-0.5897907597934247,cyl
383,"[[354, 543], [363, 608]]","[0.6320422535211268, 0.7473958333333334]",144.0,"[0.46553524804177543, 0.46589920088614606]",54479.75535046213,8144.13717206406,467128.7825453013,-0.11653901726678777,cyl
271,"[[379, 708], [395, 734]]","[0.6795774647887324, 0.94140625]",69.0,"[0.42131538962448445, 0.5416154161541615]",28894.939521897017,16166.035000495936,63283.586654663086,-0.44339014169666124,cyl
771,"[[56, 726], [84, 761]]","[0.125, 0.96875]",100.0,"[0.5243078849680218, 0.5085026660902147]",185685.45703125,213460.296875,298329.6904296875,-0.6730622670076596,para
1041,"[[79, 545], [107, 601]]","[0.1637323943661972, 0.7552083333333334]",159.0,"[0.46818377554738483, 0.6175404890709002]",475117.96109338326,238873.52011319812,1409560.5256347647,-0.34091448180641165,para
2626,"[[92, 649], [139, 761]]","[0.20246478873239437, 0.9192708333333334]",407.0,"[0.48875031733942625, 0.5001314290721107]",3790759.7577299736,1760825.553418224,9986110.832912866,-0.37234676545488776,para
3343,"[[124, 193], [211, 293]]","[0.31338028169014087, 0.3125]",771.0,"[0.42067007685233837, 0.5151197561952727]",10455884.919894408,11265310.24548701,20955236.875,-0.5684390665337032,para
479,"[[194, 296], [225, 325]]","[0.3644366197183099, 0.40234375]",208.0,"[0.572700103950104, 0.5232155232155232]",138455.37181585602,197661.86595231658,163136.4738922119,0.7233779253383428,para
126192,"[[0, 1], [423, 761]]","[0.43661971830985913, 0.4765625]",7931.0,"[0.5777685950413224, 0.4807773638909704]",13011356556.913525,9613130979.810593,23552740634.65851,-0.5395104386621791,para
400,"[[240, 257], [268, 284]]","[0.4507042253521127, 0.34765625]",163.0,"[0.43305529280247657, 0.5798895618097613]",88833.50066021128,96957.96389605259,131666.2871246338,-0.6889350335568851,para
438,"[[248, 732], [301, 759]]","[0.477112676056338, 0.9739583333333334]",296.0,"[0.5201393199531003, 0.4466613461026869]",364089.0702208042,1039659.319635244,215996.37418619829,0.3619728111871333,para
3953,"[[249, 1], [316, 86]]","[0.4982394366197183, 0.06510416666666667]",244.0,"[0.49579247332628973, 0.5648580118720548]",6464247.805361465,5454246.566830178,10833457.109164793,-0.5882551649296922,para
552,"[[278, 211], [297, 267]]","[0.5070422535211268, 0.3125]",265.0,"[0.43052721088435375, 0.4717746747821936]",147250.6294014083,63959.860146796214,617304.921875,-0.24454503661783022,para
355,"[[324, 296], [352, 322]]","[0.5897887323943662, 0.40234375]",169.0,"[0.5580083789880761, 0.4867601246105919]",76387.36903058979,136421.12659938517,105137.91766357422,0.6844107214144131,para
260,"[[348, 508], [374, 524]]","[0.6355633802816901, 0.6692708333333334]",126.0,"[0.4799925553694398, 0.5947383978717115]",21643.844442304864,48149.14830576778,22957.99093288845,0.5218782885855195,para
277022,"[[0, 0], [561, 761]]","[0.5299295774647887, 0.515625]",8432.0,"[0.44697785583095434, 0.4757153398729685]",13440461543.19598,10466343964.360865,23856051954.55542,-0.5543301644026258,para
2151,"[[402, 242], [460, 309]]","[0.7605633802816901, 0.3580729166666667]",215.0,"[0.5039437707333602, 0.48228594087565285]",2285382.8212844785,2298261.598293982,2717663.71755473,-0.7396475147676578,para
1761,"[[440, 127], [481, 190]]","[0.8098591549295775, 0.20833333333333334]",191.0,"[0.475245019708107, 0.5030323685682326]",1117468.5416666665,853499.5721087104,2201270.0208333246,-0.5140699698370129,para
281,"[[470, 104], [497, 133]]","[0.8538732394366197, 0.15364583333333334]",111.0,"[0.5277071682765633, 0.467141162514828]",43476.37521548563,69126.31358175464,73600.51899549684,-0.7596930367579713,para
471,"[[486, 278], [515, 301]]","[0.8855633802816901, 0.375]",84.0,"[0.5571125265392781, 0.4056970983722576]",78070.21897007042,145569.05893857934,57270.734375,0.5280632276892162,para
472,"[[0, 335], [32, 378]]","[0.017605633802816902, 0.4674479166666667]",176.0,"[0.30536130536130535, 0.5486202986202987]",89400.81942763351,82244.48007587787,332057.02661302313,-0.31060696616266775,mod
1654,"[[0, 598], [29, 697]]","[0.022887323943661973, 0.8515625]",312.0,"[0.42450624748085447, 0.557496977025393]",1272700.4837973155,365276.6692310531,5884546.256225586,-0.2160579208072177,mod
834,"[[22, 556], [56, 589]]","[0.07042253521126761, 0.7447916666666666]",101.0,"[0.5187735525865023, 0.46191282268303]",228478.96882335682,332988.3191827024,238968.06949869866,0.6839378304785764,mod
33319,"[[0, 0], [290, 277]]","[0.25528169014084506, 0.17057291666666666]",4364.0,"[0.5309464510695675, 0.49112411355203134]",815112117.6286821,1103677103.207044,908292048.4629816,0.7257568266530353,mod
4375,"[[34, 234], [140, 429]]","[0.16901408450704225, 0.39453125]",906.0,"[0.5935970669590979, 0.33201587698710544]",19682274.632647447,24001864.390993882,30994199.840255737,-0.6974998476059473,mod
41234,"[[0, 376], [321, 761]]","[0.36619718309859156, 0.7682291666666666]",4366.0,"[0.6202852874972649, 0.5459756456804336]",1870114996.4875274,2079126597.0299444,2567252962.4307523,-0.7205113681946996,mod
3880,"[[241, 112], [309, 233]]","[0.4876760563380282, 0.22265625]",498.0,"[0.515886568296919, 0.48061636372641275]",8538960.108412195,5919617.56805457,15899259.079162598,-0.5209783658805816,mod
15728,"[[285, 262], [418, 515]]","[0.6003521126760564, 0.5130208333333334]",1085.0,"[0.41719434811725464, 0.5196727963424829]",124189015.90590617,58422714.84181308,345581917.6792875,-0.35655444827234056,mod
1984,"[[311, 719], [400, 761]]","[0.6338028169014085, 0.9739583333333334]",243.0,"[0.5442435403761371, 0.6622592363309311]",2585821.348738263,5427476.092441976,1671735.6731499452,0.4713450920999571,mod
1401,"[[371, 563], [417, 603]]","[0.6936619718309859, 0.7604166666666666]",128.0,"[0.47903473203031266, 0.5077906025312929]",631316.4331352696,853980.7557156419,698256.438476564,0.7240415037228585,mod
1798,"[[0, 572], [52, 663]]","[0.03873239436619718, 0.80078125]",474.0,"[0.4276313737720256, 0.46504371781051623]",1500833.6702382278,1207950.1313107524,4354292.737045288,-0.38093522880982356,mod
1050,"[[85, 570], [146, 604]]","[0.198943661971831, 0.765625]",220.0,"[0.42810735665446703, 0.4770699836662897]",417316.4412687045,1073138.1592968924,381996.7072753906,0.4395836777235837,mod
384,"[[153, 305], [173, 335]]","[0.2852112676056338, 0.41796875]",104.0,"[0.4487847222222222, 0.5074764784946236]",51801.18623459511,40159.87750446333,114072.185546875,-0.47555918879772974,mod
3749,"[[156, 177], [224, 276]]","[0.33274647887323944, 0.296875]",476.0,"[0.4775766291300869, 0.5052654041077621]",5386198.235117729,4897916.0901018,12103933.917236328,-0.49061297872373755,mod
65229,"[[41, 248], [477, 714]]","[0.49471830985915494, 0.6158854166666666]",8708.0,"[0.5597154397303142, 0.4715379029564144]",3673679065.8688874,5036024478.673861,4277202072.089701,0.7339414655411401,mod
668,"[[386, 0], [435, 32]]","[0.721830985915493, 0.014322916666666666]",172.0,"[0.46737151248164466, 0.351043474391492]",164694.5811280442,401138.3916013708,141157.1527252198,0.451312219583022,mod
20096,"[[416, 275], [561, 580]]","[0.8943661971830986, 0.5403645833333334]",2084.0,"[0.5654906346100084, 0.42403866809881846]",244771787.1214695,189259249.9394627,503937354.6653714,-0.49975000544627063,mod
679,"[[2, 405], [33, 433]]","[0.02992957746478873, 0.5455729166666666]",87.0,"[0.48163659793814434, 0.48702452897262705]",153068.64201190206,202665.18217801524,160460.01567755803,0.7168981988633385,let
2779,"[[0, 508], [81, 616]]","[0.07922535211267606, 0.73046875]",611.0,"[0.5469945732354388, 0.48248378188049057]",5678664.685168624,6735613.0363612315,9886915.021774292,-0.6500682769011097,let
432,"[[84, 705], [111, 761]]","[0.16549295774647887, 0.95703125]",274.0,"[0.5333291488827517, 0.4660839268646132]",401711.1009848157,316224.39280400774,1042465.4526672363,-0.41790585334781144,let
867,"[[86, 546], [116, 617]]","[0.1795774647887324, 0.7473958333333334]",196.0,"[0.5005740528128588, 0.3917272611302462]",442899.59957269666,250135.7500371949,941279.4889797646,-0.454107690019196,let
1491,"[[110, 282], [149, 334]]","[0.22711267605633803, 0.3997395833333333]",133.0,"[0.48564721663313215, 0.47736734874656744]",777396.9330458665,690948.7229313345,1177292.4968719508,-0.6338178403793431,let
116015,"[[0, 467], [561, 761]]","[0.5827464788732394, 0.82421875]",4880.0,"[0.5726833740473981, 0.5538196970587516]",6242150203.541372,14918054147.69305,3921891568.25943,0.4243456069921447,let
208,"[[151, 457], [187, 478]]","[0.2904929577464789, 0.6145833333333334]",108.0,"[0.3782484407484408, 0.6608391608391608]",44644.631895539904,56887.30232096803,44869.564236111124,0.7185035126683278,let
2813,"[[205, 374], [267, 434]]","[0.4137323943661972, 0.5234375]",184.0,"[0.47587448298433016, 0.46307833070113585]",2132475.023946413,3114268.0983590893,2818719.990539551,0.7508049815280958,let
846,"[[310, 702], [357, 761]]","[0.5774647887323944, 0.9609375]",298.0,"[0.5390303180095567, 0.44664689405173835]",1264602.5113336276,1738323.2769291722,1909871.5087280273,-0.7515365576374218,let
1772,"[[314, 402], [381, 479]]","[0.6126760563380281, 0.5703125]",628.0,"[0.5143358218560947, 0.45915390226112324]",2480958.6985035157,2664148.517952841,2862322.1311035156,-0.7654393120110509,let
295816,"[[0, 1], [561, 761]]","[0.47007042253521125, 0.3580729166666667]",6196.0,"[0.5625454319618389, 0.8073284173465505]",24936713328.208645,15389031159.896273,49515396057.582756,-0.48535638574322004,let
428,"[[382, 94], [403, 126]]","[0.6919014084507042, 0.14192708333333334]",91.0,"[0.47886576040781653, 0.4672897196261682]",65424.53089238557,51404.3284938505,133967.1838311087,-0.5039549505016696,let
76263,"[[135, 243], [476, 574]]","[0.5598591549295775, 0.5247395833333334]",3309.0,"[0.5424488996004123, 0.4922021547433017]",2305327516.765053,3279775877.283273,2524323566.836729,0.7041950890975913,inter
1785,"[[401, 515], [457, 569]]","[0.7588028169014085, 0.7096354166666666]",212.0,"[0.5163681404282908, 0.5333199618913904]",1311925.553282258,1903177.4204181996,1775410.1720190868,0.7610701049162071,inter
2969,"[[122, 329], [191, 434]]","[0.2764084507042254, 0.4986979166666667]",469.0,"[0.4972477505653659, 0.512312766511817]",4610741.4336556485,4479186.07940204,10509016.264148409,-0.4958458708112721,mod
11002,"[[175, 39], [298, 158]]","[0.4119718309859155, 0.1328125]",393.0,"[0.47900530799245394, 0.5241070347499697]",40989429.250109985,48575211.19068646,52588338.74243164,-0.7609410867865304,mod
7976,"[[151, 173], [280, 316]]","[0.3644366197183099, 0.3151041666666667]",899.0,"[0.4339393374644738, 0.4750025237229962]",31456957.313348174,32452025.232093636,47301174.65982534,-0.6695074233229933,mod
592,"[[198, 1], [235, 33]]","[0.38204225352112675, 0.015625]",196.0,"[0.506578947368421, 0.332002457002457]",132782.5453345071,261740.89907756378,117787.45703125,0.5370329696188162,mod
1857,"[[218, 510], [267, 587]]","[0.4242957746478873, 0.7083333333333334]",426.0,"[0.45129171151776104, 0.4384987993707047]",1366828.9614143185,1157004.2892841203,2747617.475694448,-0.5219099741623056,mod
8058,"[[227, 278], [312, 422]]","[0.48063380281690143, 0.4661458333333333]",422.0,"[0.5354312555834125, 0.5500824680596504]",26882799.369507447,20650471.199184835,60059911.97823381,-0.4691366399232076,mod
549,"[[252, 1], [287, 35]]","[0.477112676056338, 0.020833333333333332]",147.0,"[0.5012670565302144, 0.4058646616541354]",113896.1927083333,239542.5908363914,161331.87239583366,0.620032540272507,mod
2991,"[[288, 518], [348, 581]]","[0.5598591549295775, 0.7174479166666666]",183.0,"[0.48816394538807684, 0.5083166165162153]",2672669.6429678327,3254030.6748536993,3770552.4577891636,-0.7372325519258043,mod
515,"[[296, 25], [322, 72]]","[0.5440140845070423, 0.06770833333333333]",138.0,"[0.4947141316073355, 0.55707928802589]",205046.58607504398,103050.8691572851,449354.53805881017,-0.43476623195228076,mod
1637,"[[265, 601], [320, 674]]","[0.5158450704225352, 0.8359375]",329.0,"[0.49735930735930733, 0.5595986895986896]",1601950.0136168543,1549710.7065128365,3366563.8028564453,-0.5274689693444137,mod
1092,"[[304, 667], [344, 721]]","[0.5721830985915493, 0.8997395833333334]",264.0,"[0.5104812129202373, 0.4285012285012285]",582363.3856596614,605099.4912901717,761964.2047627781,-0.7184612323998731,mod
2861,"[[307, 220], [361, 326]]","[0.5897887323943662, 0.3515625]",500.0,"[0.492745515354211, 0.4841184009001969]",4070288.3187995153,2586790.5526123387,9814700.740112305,-0.42235703829977683,mod
231,"[[324, 743], [343, 761]]","[0.5845070422535211, 0.9817708333333334]",65.0,"[0.4025974025974026, 0.5871496924128503]",19695.191406250004,18044.554602261454,30015.608011881493,-0.6378790283346017,mod
1334,"[[359, 684], [383, 761]]","[0.6514084507042254, 0.9401041666666666]",199.0,"[0.44380809595202403, 0.4815957405912428]",506667.72001540486,188806.06722376458,2368364.8638644707,-0.21759876950102205,mod
1521,"[[134, 0], [188, 74]]","[0.2711267605633803, 0.037760416666666664]",465.0,"[0.4763690050107373, 0.49253280839895014]",2110044.159606074,1793371.336540366,3732194.1525336513,-0.5700652793271087,let
908,"[[162, 44], [191, 105]]","[0.30985915492957744, 0.09375]",182.0,"[0.45560238847910084, 0.44943743839015604]",304617.62103873224,221103.74985122046,966728.0908203125,-0.34253478049865177,let
35755,"[[172, 37], [483, 289]]","[0.5211267605633803, 0.19661458333333334]",2234.0,"[0.40164311892531085, 0.4454334754697807]",516028748.6424952,803171165.9035895,581240897.024206,0.6794925301700253,let
645,"[[190, 0], [223, 47]]","[0.36619718309859156, 0.02734375]",171.0,"[0.5305027729793617, 0.4382405976300876]",250254.43331866182,216601.72069033972,405416.18687438965,-0.6050294468177891,let
